Date;PLAISANCE DU TOUCH;GRENADE
01/08/2018;0;0
02/08/2018;0;0
03/08/2018;0;0
04/08/2018;0;0
05/08/2018;0;0
06/08/2018;0;0
08/08/2018;0;0
09/08/2018;0;0
10/08/2018;0;0
11/08/2018;0;0
12/08/2018;0;0
13/08/2018;0;0
15/08/2018;0;0
16/08/2018;0;0
17/08/2018;0;0
18/08/2018;0;0
19/08/2018;0;0
20/08/2018;0;0
22/08/2018;0;0
23/08/2018;0;0
24/08/2018;0;0
25/08/2018;0;0
26/08/2018;0;0
27/08/2018;0;0
29/08/2018;0;0
30/08/2018;0;0
31/08/2018;0;0
01/09/2018;813;0
02/09/2018;856;0
03/09/2018;590;0
05/09/2018;631;0
06/09/2018;378;0
07/09/2018;443;0
08/09/2018;633;0
09/09/2018;781;0
10/09/2018;543;0
12/09/2018;622;0
13/09/2018;496;0
14/09/2018;435;0
15/09/2018;822;0
16/09/2018;678;0
17/09/2018;590;0
19/09/2018;641;0
20/09/2018;445;0
21/09/2018;474;0
22/09/2018;788;0
23/09/2018;793;0
24/09/2018;568;0
26/09/2018;613;0
27/09/2018;226;0
28/09/2018;498;0
29/09/2018;731;0
30/09/2018;779;0
01/10/2018;556;0
03/10/2018;607;0
04/10/2018;471;0
05/10/2018;477;0
06/10/2018;839;0
07/10/2018;586;0
08/10/2018;426;0
10/10/2018;595;0
11/10/2018;500;0
12/10/2018;491;0
13/10/2018;767;0
14/10/2018;870;0
15/10/2018;394;0
17/10/2018;549;0
18/10/2018;370;0
19/10/2018;462;0
20/10/2018;788;0
21/10/2018;717;0
22/10/2018;629;0
24/10/2018;712;0
25/10/2018;569;0
26/10/2018;605;0
27/10/2018;683;0
28/10/2018;662;0
29/10/2018;523;0
31/10/2018;726;0
01/11/2018;0;0
02/11/2018;945;0
03/11/2018;830;0
04/11/2018;817;0
05/11/2018;590;0
07/11/2018;443;0
08/11/2018;451;0
09/11/2018;389;0
10/11/2018;721;0
11/11/2018;0;0
12/11/2018;18;0
14/11/2018;16;0
15/11/2018;14;0
16/11/2018;16;0
17/11/2018;21;0
18/11/2018;31;0
19/11/2018;204;0
21/11/2018;512;0
22/11/2018;474;0
23/11/2018;374;0
24/11/2018;675;0
25/11/2018;497;0
26/11/2018;0;0
28/11/2018;632;0
29/11/2018;516;0
30/11/2018;353;0
01/12/2018;582;0
02/12/2018;518;0
03/12/2018;406;0
05/12/2018;473;0
06/12/2018;378;0
07/12/2018;392;0
08/12/2018;543;0
09/12/2018;508;0
10/12/2018;423;0
12/12/2018;441;0
13/12/2018;251;0
14/12/2018;278;0
15/12/2018;566;0
16/12/2018;0;0
17/12/2018;212;0
19/12/2018;532;0
20/12/2018;426;0
21/12/2018;437;0
22/12/2018;548;0
23/12/2018;493;0
24/12/2018;243;0
26/12/2018;583;0
27/12/2018;663;0
28/12/2018;725;0
29/12/2018;581;0
30/12/2018;474;0
31/12/2018;284;0
02/01/2019;582;0
03/01/2019;540;0
04/01/2019;559;0
05/01/2019;664;0
06/01/2019;660;0
07/01/2019;400;0
09/01/2019;397;0
10/01/2019;333;0
11/01/2019;342;0
12/01/2019;635;0
13/01/2019;667;0
14/01/2019;308;0
16/01/2019;432;0
17/01/2019;325;0
18/01/2019;334;0
19/01/2019;572;0
20/01/2019;593;0
21/01/2019;409;0
23/01/2019;254;0
24/01/2019;313;0
25/01/2019;269;0
26/01/2019;494;0
27/01/2019;452;0
28/01/2019;280;0
30/01/2019;310;0
31/01/2019;246;0
01/02/2019;330;0
02/02/2019;461;0
03/02/2019;573;0
04/02/2019;394;0
06/02/2019;386;0
07/02/2019;305;0
08/02/2019;343;0
09/02/2019;655;0
10/02/2019;592;0
11/02/2019;407;0
13/02/2019;487;0
14/02/2019;418;0
15/02/2019;444;0
16/02/2019;756;0
